1####Halifax General Hospital####Hospital####1796 Summer St, Halifax, NS####@@@@
2####Halifax West Health Clinic####Clinic####7071 Bayers Rd, Halifax, NS####@@@@
3####Dalhousie Medical Centre####Hospital####6299 South St, Halifax, NS####@@@@
4####Bedford Community Health Centre####Clinic####230 Gary Martin Dr, Bedford, NS####@@@@
5####Dartmouth Waterfront Health Centre####Clinic####40 Alderney Dr, Dartmouth, NS####@@@@
6####Cape Breton Regional Hospital####Hospital####1482 George St, Sydney, NS####@@@@
7####Truro Regional Hospital####Hospital####207 Willow St, Truro, NS####@@@@
8####New Glasgow Health Clinic####Clinic####794 E River Rd, New Glasgow, NS####@@@@
9####Halifax Heart Institute####Hospital####5980 University Ave, Halifax, NS####@@@@
10####Dartmouth Surgical Centre####Clinic####144 Portland St, Dartmouth, NS####@@@@
11####Facility_11####Clinic####216 Pine St, City Z####@@@@
954####Facility_954####Hospital####915 Elm St, City O####@@@@
955####Facility_955####Clinic####509 Oak St, City S####@@@@
956####Facility_956####Hospital####599 Birch St, City I####@@@@
957####Facility_957####Clinic####664 Elm St, City L####@@@@
958####Facility_958####Hospital####498 Oak St, City R####@@@@
959####Facility_959####Clinic####424 Oak St, City G####@@@@
960####Facility_960####Hospital####301 Cedar St, City W####@@@@
961####Facility_961####Clinic####794 Oak St, City S####@@@@
962####Facility_962####Hospital####380 Birch St, City L####@@@@
963####Facility_963####Clinic####300 Elm St, City I####@@@@
964####Facility_964####Hospital####786 Oak St, City K####@@@@
965####Facility_965####Clinic####759 Elm St, City U####@@@@
966####Facility_966####Hospital####83 Cedar St, City F####@@@@
967####Facility_967####Clinic####300 Pine St, City U####@@@@
968####Facility_968####Hospital####330 Birch St, City Z####@@@@
969####Facility_969####Clinic####463 Oak St, City A####@@@@
970####Facility_970####Hospital####761 Pine St, City S####@@@@
971####Facility_971####Clinic####640 Cedar St, City B####@@@@
972####Facility_972####Hospital####882 Elm St, City P####@@@@
973####Facility_973####Clinic####503 Oak St, City N####@@@@
974####Facility_974####Hospital####121 Pine St, City R####@@@@
975####Facility_975####Clinic####575 Cedar St, City A####@@@@
976####Facility_976####Hospital####808 Elm St, City E####@@@@
977####Facility_977####Clinic####183 Pine St, City K####@@@@
978####Facility_978####Hospital####112 Oak St, City H####@@@@
979####Facility_979####Clinic####811 Maple St, City X####@@@@
980####Facility_980####Hospital####190 Elm St, City U####@@@@
981####Facility_981####Clinic####75 Oak St, City K####@@@@
982####Facility_982####Hospital####413 Birch St, City I####@@@@
983####Facility_983####Clinic####338 Oak St, City N####@@@@
984####Facility_984####Hospital####77 Elm St, City R####@@@@
985####Facility_985####Clinic####247 Birch St, City X####@@@@
986####Facility_986####Hospital####779 Cedar St, City B####@@@@
987####Facility_987####Clinic####905 Oak St, City Q####@@@@
988####Facility_988####Hospital####231 Oak St, City N####@@@@
989####Facility_989####Clinic####987 Maple St, City H####@@@@
990####Facility_990####Hospital####414 Pine St, City P####@@@@
991####Facility_991####Clinic####778 Oak St, City H####@@@@
992####Facility_992####Hospital####713 Cedar St, City D####@@@@
993####Facility_993####Clinic####796 Birch St, City N####@@@@
994####Facility_994####Hospital####331 Maple St, City R####@@@@
995####Facility_995####Clinic####298 Elm St, City D####@@@@
996####Facility_996####Hospital####694 Birch St, City S####@@@@
997####Facility_997####Clinic####453 Pine St, City U####@@@@
998####Facility_998####Hospital####924 Elm St, City S####@@@@
999####Facility_999####Clinic####496 Elm St, City C####@@@@
1000####Facility_1000####Hospital####709 Elm St, City S####@@@@
