1####1####Downtown Dental####Dental####456 Elm St, Halifax####@@@@
889####190####Clinic_889####Type_4####486 Pine St, City Q####@@@@
890####683####Clinic_890####Type_0####728 Cedar St, City P####@@@@
891####750####Clinic_891####Type_1####902 Elm St, City U####@@@@
892####526####Clinic_892####Type_2####588 Oak St, City W####@@@@
893####193####Clinic_893####Type_3####105 Birch St, City J####@@@@
894####801####Clinic_894####Type_4####574 Oak St, City V####@@@@
895####263####Clinic_895####Type_0####755 Oak St, City U####@@@@
896####340####Clinic_896####Type_1####422 Pine St, City R####@@@@
897####357####Clinic_897####Type_2####520 Cedar St, City H####@@@@
898####390####Clinic_898####Type_3####108 Cedar St, City X####@@@@
899####978####Clinic_899####Type_4####701 Oak St, City L####@@@@
900####761####Clinic_900####Type_0####255 Elm St, City Q####@@@@
901####106####Clinic_901####Type_1####688 Elm St, City H####@@@@
902####3####Clinic_902####Type_2####313 Cedar St, City F####@@@@
903####715####Clinic_903####Type_3####544 Pine St, City E####@@@@
904####784####Clinic_904####Type_4####772 Pine St, City S####@@@@
905####861####Clinic_905####Type_0####586 Pine St, City S####@@@@
906####286####Clinic_906####Type_1####997 Oak St, City G####@@@@
907####283####Clinic_907####Type_2####348 Cedar St, City B####@@@@
908####484####Clinic_908####Type_3####7 Birch St, City T####@@@@
909####435####Clinic_909####Type_4####577 Cedar St, City P####@@@@
910####860####Clinic_910####Type_0####318 Birch St, City D####@@@@
911####951####Clinic_911####Type_1####640 Oak St, City H####@@@@
912####236####Clinic_912####Type_2####11 Pine St, City T####@@@@
913####99####Clinic_913####Type_3####419 Pine St, City N####@@@@
914####559####Clinic_914####Type_4####332 Maple St, City U####@@@@
915####868####Clinic_915####Type_0####961 Pine St, City R####@@@@
916####803####Clinic_916####Type_1####159 Cedar St, City O####@@@@
917####759####Clinic_917####Type_2####274 Elm St, City T####@@@@
918####275####Clinic_918####Type_3####93 Elm St, City N####@@@@
919####400####Clinic_919####Type_4####326 Birch St, City Q####@@@@
920####706####Clinic_920####Type_0####922 Maple St, City O####@@@@
921####432####Clinic_921####Type_1####125 Oak St, City M####@@@@
922####584####Clinic_922####Type_2####848 Oak St, City W####@@@@
923####62####Clinic_923####Type_3####678 Cedar St, City H####@@@@
924####715####Clinic_924####Type_4####320 Birch St, City B####@@@@
925####270####Clinic_925####Type_0####276 Oak St, City X####@@@@
926####259####Clinic_926####Type_1####93 Birch St, City J####@@@@
927####674####Clinic_927####Type_2####711 Cedar St, City L####@@@@
928####248####Clinic_928####Type_3####99 Maple St, City R####@@@@
929####21####Clinic_929####Type_4####774 Maple St, City X####@@@@
930####702####Clinic_930####Type_0####898 Pine St, City K####@@@@
931####776####Clinic_931####Type_1####759 Pine St, City F####@@@@
932####956####Clinic_932####Type_2####60 Maple St, City C####@@@@
933####117####Clinic_933####Type_3####975 Pine St, City C####@@@@
934####705####Clinic_934####Type_4####453 Maple St, City Q####@@@@
935####317####Clinic_935####Type_0####601 Birch St, City U####@@@@
936####690####Clinic_936####Type_1####40 Elm St, City K####@@@@
937####719####Clinic_937####Type_2####189 Cedar St, City B####@@@@
938####97####Clinic_938####Type_3####420 Cedar St, City T####@@@@
939####663####Clinic_939####Type_4####706 Cedar St, City J####@@@@
940####495####Clinic_940####Type_0####498 Elm St, City L####@@@@
941####71####Clinic_941####Type_1####485 Pine St, City V####@@@@
942####454####Clinic_942####Type_2####632 Elm St, City M####@@@@
943####353####Clinic_943####Type_3####163 Birch St, City G####@@@@
944####705####Clinic_944####Type_4####417 Maple St, City Z####@@@@
945####828####Clinic_945####Type_0####399 Oak St, City Q####@@@@
946####830####Clinic_946####Type_1####390 Elm St, City P####@@@@
947####95####Clinic_947####Type_2####709 Elm St, City P####@@@@
948####968####Clinic_948####Type_3####700 Cedar St, City H####@@@@
949####313####Clinic_949####Type_4####598 Oak St, City T####@@@@
950####899####Clinic_950####Type_0####349 Oak St, City Q####@@@@
951####956####Clinic_951####Type_1####364 Cedar St, City N####@@@@
952####70####Clinic_952####Type_2####598 Maple St, City Z####@@@@
953####54####Clinic_953####Type_3####962 Maple St, City C####@@@@
954####45####Clinic_954####Type_4####560 Cedar St, City Q####@@@@
955####476####Clinic_955####Type_0####228 Elm St, City L####@@@@
956####444####Clinic_956####Type_1####997 Oak St, City W####@@@@
957####135####Clinic_957####Type_2####790 Oak St, City R####@@@@
958####177####Clinic_958####Type_3####461 Oak St, City C####@@@@
959####838####Clinic_959####Type_4####531 Cedar St, City C####@@@@
960####122####Clinic_960####Type_0####953 Elm St, City M####@@@@
961####433####Clinic_961####Type_1####572 Pine St, City M####@@@@
962####444####Clinic_962####Type_2####573 Birch St, City Y####@@@@
963####678####Clinic_963####Type_3####992 Elm St, City O####@@@@
964####903####Clinic_964####Type_4####448 Elm St, City W####@@@@
965####941####Clinic_965####Type_0####825 Oak St, City C####@@@@
966####895####Clinic_966####Type_1####896 Maple St, City M####@@@@
967####208####Clinic_967####Type_2####648 Pine St, City Y####@@@@
968####327####Clinic_968####Type_3####624 Cedar St, City O####@@@@
969####819####Clinic_969####Type_4####904 Oak St, City E####@@@@
970####756####Clinic_970####Type_0####525 Cedar St, City B####@@@@
971####706####Clinic_971####Type_1####434 Cedar St, City L####@@@@
972####282####Clinic_972####Type_2####575 Cedar St, City I####@@@@
973####711####Clinic_973####Type_3####830 Cedar St, City D####@@@@
974####781####Clinic_974####Type_4####96 Cedar St, City K####@@@@
975####756####Clinic_975####Type_0####777 Pine St, City S####@@@@
976####106####Clinic_976####Type_1####422 Cedar St, City R####@@@@
977####722####Clinic_977####Type_2####174 Oak St, City B####@@@@
978####141####Clinic_978####Type_3####557 Oak St, City N####@@@@
979####31####Clinic_979####Type_4####520 Pine St, City L####@@@@
980####138####Clinic_980####Type_0####807 Maple St, City N####@@@@
981####198####Clinic_981####Type_1####644 Pine St, City J####@@@@
982####923####Clinic_982####Type_2####114 Birch St, City I####@@@@
983####339####Clinic_983####Type_3####412 Maple St, City A####@@@@
984####386####Clinic_984####Type_4####674 Cedar St, City N####@@@@
985####86####Clinic_985####Type_0####392 Maple St, City P####@@@@
986####666####Clinic_986####Type_1####578 Birch St, City R####@@@@
987####776####Clinic_987####Type_2####174 Elm St, City P####@@@@
988####583####Clinic_988####Type_3####655 Elm St, City Y####@@@@
989####221####Clinic_989####Type_4####122 Cedar St, City B####@@@@
990####621####Clinic_990####Type_0####656 Oak St, City F####@@@@
991####827####Clinic_991####Type_1####766 Elm St, City G####@@@@
992####488####Clinic_992####Type_2####508 Oak St, City J####@@@@
993####432####Clinic_993####Type_3####402 Oak St, City G####@@@@
994####939####Clinic_994####Type_4####934 Maple St, City C####@@@@
995####297####Clinic_995####Type_0####409 Elm St, City J####@@@@
996####191####Clinic_996####Type_1####310 Maple St, City T####@@@@
997####148####Clinic_997####Type_2####230 Pine St, City F####@@@@
998####917####Clinic_998####Type_3####228 Cedar St, City H####@@@@
999####13####Clinic_999####Type_4####952 Birch St, City M####@@@@
1000####234####Clinic_1000####Type_0####176 Pine St, City G####@@@@
